82 Willow Avenue, 93458, Hawaii, Monuments, 25
41 9th Avenue, 21758, Hawaii, Cafes, 89
29 East Avenue, 37739, Nebraska, Concert, 95
67 9th Avenue, 64341, Washington D.C., Beach, 88
91 Lake Avenue, 81015, Kentucky, Carnivals, 29
57 10th Avenue, 26346, Nevada, Amusement Park, 90
95 4th Avenue, 35541, Oklahoma, Pool, 59
54 Redwood Avenue, 46395, Tennessee, Food, 5
89 East Avenue, 96044, Pennyslvania, Basketball, 5
57 Oak Avenue, 94823, Montana, Fishing, 46
64 9th Avenue, 50225, Iowa, Shopping Mall, 77
64 South Avenue, 34854, Alaska, Beach, 33
42 Jackson Avenue, 52484, Ohio, Piers, 78
37 3rd Avenue, 11961, South Dakota, Cafes, 43
6 Evergreen Avenue, 94774, Connecticut, Hiking, 87
11 Apache Avenue, 67179, New Jersey, Monuments, 53
92 7th Avenue, 30964, Texas, Beach, 71
95 Evergreen Avenue, 4545, Wyoming, Zoos, 70
94 Main Avenue, 16470, Alaska, Romantic, 85
11 North Avenue, 17702, Massachusetts, Shopping Mall, 3
25 4th Avenue, 23461, Texas, Boxing, 40
87 Jackson Avenue, 62482, New Mexico, Pool, 64
6 Willow Avenue, 8535, Hawaii, Park, 67
32 Oak Avenue, 69963, Michigan, Cafes, 8
44 1st Avenue, 65286, Maryland, Basketball, 4
63 2nd Avenue, 4755, Mississippi, Food, 13
1 Willow Avenue, 48249, Iowa, Shopping Mall, 47
11 Redwood Avenue, 40451, Michigan, Monuments, 56
96 Oak Avenue, 21854, Colorado, Cafes, 31
78 Main Avenue, 16313, Alaska, Beach, 92
89 4th Avenue, 79518, Florida, Skiing, 19
8 Pine Avenue, 65532, Vermont, Fishing, 95
18 Sunset Avenue, 98053, Wisconsin, Basketball, 20
61 3rd Avenue, 83216, Missouri, Food, 79
55 9th Avenue, 29166, Washingston, Hiking, 16
1 Willow Avenue, 41851, Tennessee, Pool, 85
10 Willow Avenue, 92144, North Dakota, Basketball, 40
1 Maple Avenue, 56882, Georgia, Carnivals, 90
75 Redwood Avenue, 86737, Mississippi, Piers, 44
96 Main Avenue, 74445, Washingston, Skiing, 48
53 South Avenue, 75979, Massachusetts, Tennis, 65
83 Lake Avenue, 83941, Colorado, Carnivals, 55
12 Ridge Avenue, 62706, Michigan, Hiking, 8
9 9th Avenue, 1690, Wisconsin, Bowling, 74
7 10th Avenue, 58932, Washingston, Monuments, 59
47 Jackson Avenue, 28058, New Mexico, Pool, 39
32 3rd Avenue, 26191, Georgia, Zoos, 77
13 Park Avenue, 40062, Oregon, Muesems, 98
88 Sunset Avenue, 15510, Virginia, Ponds, 2
19 10th Avenue, 38602, Ohio, Basketball, 81
6 Park Avenue, 30258, Louisiana, Romantic, 80
35 Hillside Avenue, 79848, Texas, Volleyball, 80
9 Lake Avenue, 12348, Rhode Island, Cafes, 23
63 10th Avenue, 79357, Iowa, Hiking, 96
49 10th Avenue, 43497, Pennyslvania, Basketball, 31
33 Redwood Avenue, 76486, Alabama, Food, 86
88 Sunset Avenue, 49666, Tennessee, Monuments, 56
66 East Avenue, 97521, Louisiana, Haunted, 24
21 South Avenue, 3748, New Jersey, Feeding Animals, 53
75 Jackson Avenue, 29849, Arizona, Romantic, 39
82 North Avenue, 77257, Kansas, Amusement Park, 95
93 5th Avenue, 62361, Nevada, Fishing, 17
60 Ridge Avenue, 21980, North Carolina, Shopping Mall, 44
24 Main Avenue, 11708, Minnesota, Food, 30
96 East Avenue, 11914, Pennyslvania, Beach, 45
72 Meadow Avenue, 84450, Hawaii, Shopping Mall, 21
88 Main Avenue, 42381, Florida, Tennis, 49
89 Birch Avenue, 82221, New Jersey, Volleyball, 96
67 North Avenue, 351, Idaho, Pool, 59
26 7th Avenue, 26719, Oklahoma, Concert, 87
89 Willow Avenue, 98359, Vermont, Basketball, 14
31 9th Avenue, 62478, New York, Haunted, 66
14 Redwood Avenue, 30506, Delaware, Holiday, 21
75 Hillside Avenue, 64592, Oregon, Pool, 60
17 Lake Avenue, 67527, Ohio, Zoos, 22
2 Elm Avenue, 25402, Nevada, Apple Picking, 32
80 Elm Avenue, 41803, Colorado, Pool, 52
29 Pine Avenue, 77454, Nebraska, Skiing, 9
5 South Avenue, 62060, Utah, Cafes, 64
40 Apache Avenue, 77189, Arizona, Holiday, 85
22 Redwood Avenue, 26291, New Mexico, Shopping Mall, 62
84 Sunset Avenue, 61884, Oklahoma, Piers, 42
92 Oak Avenue, 81102, Iowa, Bowling, 16
53 North Avenue, 24175, Arkansas, Shopping Mall, 98
91 10th Avenue, 79933, Wisconsin, Cafes, 68
77 7th Avenue, 20537, California, Basketball, 43
52 West Avenue, 47274, New Mexico, Basketball, 37
87 Sunset Avenue, 66454, Alaska, Carnivals, 58
19 Birch Avenue, 71365, Minnesota, Apple Picking, 56
18 3rd Avenue, 74058, Arkansas, Ponds, 60
93 South Avenue, 29175, Kansas, Bowling, 48
51 Birch Avenue, 92220, Delaware, Haunted, 60
95 7th Avenue, 69491, Colorado, Piers, 60
35 Hillside Avenue, 13879, Virginia, Volleyball, 40
54 Oak Avenue, 5343, Illinois, Carnivals, 77
43 2nd Avenue, 68985, South Dakota, Hiking, 22
46 4th Avenue, 48205, Iowa, Piers, 52
