78 Meadow Avenue, 58160, Mississippi, Basketball
8 3rd Avenue, 56932, Pennyslvania, Monuments
90 10th Avenue, 51207, New Mexico, Food
74 Redwood Avenue, 2954, Montana, Skiing
26 Maple Avenue, 87544, Alabama, Concert
46 Main Avenue, 2462, Tennessee, Zoos
9 North Avenue, 78276, Mississippi, Bowling
52 7th Avenue, 38224, Wisconsin, Art Gallery
61 4th Avenue, 21553, New Mexico, Skiing
73 Park Avenue, 58987, New Mexico, Feeding Animals
10 North Avenue, 29596, Texas, Park
67 Maple Avenue, 5337, Connecticut, Holiday
10 9th Avenue, 55826, West Virginia, Cafes
77 Sunset Avenue, 30338, Tennessee, Art Gallery
94 Redwood Avenue, 22878, Wisconsin, Haunted
53 Hillside Avenue, 22059, North Carolina, Ponds
69 Oak Avenue, 52887, Idaho, Art Gallery
3 Apache Avenue, 52417, Montana, Swimming
73 6th Avenue, 83061, New Jersey, Apple Picking
90 Maple Avenue, 80516, Oklahoma, Shopping Mall
97 West Avenue, 73119, Wyoming, Park
13 Jackson Avenue, 74600, Tennessee, Hiking
35 6th Avenue, 78156, Wisconsin, Skiing
89 Park Avenue, 87956, Idaho, Swimming
64 Evergreen Avenue, 35833, Oregon, Pool
72 Pine Avenue, 40274, Wisconsin, Bowling
55 West Avenue, 87930, Kansas, Concert
45 3rd Avenue, 14133, Ohio, Swimming
96 Sunset Avenue, 91939, Virginia, Food
55 Park Avenue, 65634, Ohio, Tennis
21 6th Avenue, 48819, California, Art Gallery
68 Ridge Avenue, 41943, New Hampshire, Cafes
79 10th Avenue, 20932, Connecticut, Park
61 5th Avenue, 62998, South Carolina, Zoos
20 10th Avenue, 85940, Minnesota, Pool
68 9th Avenue, 95777, Massachusetts, Feeding Animals
82 1st Avenue, 14290, Louisiana, Zoos
73 Redwood Avenue, 82842, Rhode Island, Shopping Mall
45 Jackson Avenue, 18643, Illinois, Holiday
95 3rd Avenue, 46035, Oklahoma, Haunted
8 10th Avenue, 31300, Arizona, Concert
53 6th Avenue, 38959, Illinois, Cafes
55 1st Avenue, 1277, Pennyslvania, Concert
72 Redwood Avenue, 47586, New Jersey, Park
75 Ridge Avenue, 59389, Wisconsin, Art Gallery
72 8th Avenue, 10772, Washingston, Skiing
49 6th Avenue, 49627, South Carolina, Zoos
8 North Avenue, 6087, Maine, Skiing
95 Park Avenue, 97020, New Hampshire, Pool
77 2nd Avenue, 76920, North Dakota, Haunted
9 Park Avenue, 66525, Ohio, Cafes
75 Lake Avenue, 26740, Washington D.C., Concert
31 4th Avenue, 72083, Nebraska, Food
8 Main Avenue, 72579, New Mexico, Holiday
1 Lake Avenue, 76307, Tennessee, Amusement Park
25 Oak Avenue, 94219, New York, Muesems
98 Elm Avenue, 34814, Maryland, Basketball
20 10th Avenue, 27590, Louisiana, Amusement Park
85 Sunset Avenue, 69815, Indiana, Concert
85 Sunset Avenue, 23089, Kentucky, Swimming
78 East Avenue, 29198, New York, Monuments
37 North Avenue, 69001, North Dakota, Volleyball
29 2nd Avenue, 61124, North Carolina, Muesems
28 West Avenue, 33795, New York, Holiday
40 Park Avenue, 73155, Oklahoma, Food
33 5th Avenue, 81327, New Mexico, Amusement Park
8 10th Avenue, 72192, Florida, Boxing
87 8th Avenue, 34392, New York, Basketball
6 1st Avenue, 48335, North Carolina, Apple Picking
50 Evergreen Avenue, 16348, Iowa, Fishing
31 2nd Avenue, 16775, Delaware, Shopping Mall
64 East Avenue, 94907, Texas, Monuments
27 6th Avenue, 51580, South Carolina, Feeding Animals
22 Ridge Avenue, 62218, Connecticut, Boxing
11 5th Avenue, 44, Kansas, Basketball
21 East Avenue, 95155, Hawaii, Basketball
88 5th Avenue, 3359, Kansas, Concert
62 Jackson Avenue, 44573, Ohio, Basketball
72 Meadow Avenue, 39480, Ohio, Pool
95 West Avenue, 235, New Mexico, Food
88 10th Avenue, 62870, Connecticut, Romantic
38 6th Avenue, 77425, Wyoming, Amusement Park
3 East Avenue, 73940, Tennessee, Hiking
24 5th Avenue, 31443, Nebraska, Cafes
5 Birch Avenue, 54245, Pennyslvania, Concert
30 Hillside Avenue, 12826, Ohio, Park
62 Evergreen Avenue, 62300, Montana, Fishing
30 West Avenue, 28732, Iowa, Boxing
89 Park Avenue, 25286, Indiana, Bowling
36 Oak Avenue, 57452, Iowa, Monuments
30 Main Avenue, 8325, Massachusetts, Boxing
73 Meadow Avenue, 18598, Minnesota, Beach
13 Sunset Avenue, 9368, Tennessee, Park
80 4th Avenue, 30043, North Dakota, Fishing
34 Elm Avenue, 90704, Pennyslvania, Muesems
67 Elm Avenue, 53142, Pennyslvania, Muesems
59 Meadow Avenue, 98506, Washingston, Haunted
26 Sunset Avenue, 80256, Virginia, Hiking
36 Meadow Avenue, 6014, Mississippi, Carnivals
26 Main Avenue, 24309, Utah, Zoos
85 Willow Avenue, 82682, Nebraska, Volleyball
31 5th Avenue, 93928, Louisiana, Piers
1 4th Avenue, 63700, Alaska, Carnivals
58 2nd Avenue, 3330, Illinois, Fishing
81 Main Avenue, 72669, New York, Tennis
100 Park Avenue, 39630, Hawaii, Zoos
21 3rd Avenue, 20708, California, Volleyball
2 7th Avenue, 56776, Minnesota, Swimming
66 West Avenue, 38725, Ohio, Monuments
75 5th Avenue, 95245, Washingston, Concert
39 Main Avenue, 58140, Virginia, Hiking
59 9th Avenue, 12117, Tennessee, Bowling
74 10th Avenue, 39821, Nebraska, Basketball
85 Elm Avenue, 26307, Georgia, Muesems
51 Jackson Avenue, 92016, Indiana, Food
13 Lake Avenue, 87139, Colorado, Carnivals
66 North Avenue, 28331, Tennessee, Fishing
82 5th Avenue, 21571, Washington D.C., Monuments
66 2nd Avenue, 13800, Idaho, Food
82 Meadow Avenue, 27729, Washingston, Fishing
26 Hillside Avenue, 44804, Arizona, Romantic
54 East Avenue, 72183, Nebraska, Amusement Park
98 2nd Avenue, 54809, Utah, Amusement Park
