Basketball, 17:28 - 23:60
Tennis, 1:19 - 1:21
Basketball, 16:1 - 14:32
Volleyball, 18:30 - 16:15
Pool, 3:6 - 5:27
Swimming, 23:7 - 8:59
Skiing, 15:8 - 7:29
Beach, 6:16 - 13:49
Park, 11:12 - 21:57
Haunted, 9:32 - 21:7
Food, 13:11 - 10:4
Carnivals, 1:28 - 22:5
Cafes, 7:34 - 21:2
Amusement Park, 21:40 - 16:26
Holiday, 8:19 - 7:36
Romantic, 11:31 - 21:37
Zoos, 10:9 - 17:3
Hiking, 23:27 - 19:37
Monuments, 2:39 - 15:55
Muesems, 1:44 - 4:21
Art Gallery, 15:34 - 1:14
Ponds, 17:20 - 17:24
Piers, 11:23 - 14:17
Fishing, 18:8 - 12:44
Shopping Mall, 0:4 - 13:39
Bowling, 9:32 - 3:18
Concert, 23:51 - 10:26
Feeding Animals, 6:53 - 18:14
Apple Picking, 7:3 - 0:38
Boxing, 11:38 - 15:55
